epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
45,10373,1.48417,1.51892,0.01181,0.3943,0.44232,0.39757,0.23579,1.39251,1.83803,0.01388,0.0095644,0.0095644,0.0095644
46,10607.1,1.43541,1.50393,0.0106,0.2058,0.64699,0.29153,0.15698,1.61768,5.2955,0.01641,0.0095545,0.0095545,0.0095545
47,10845.7,1.43206,1.44718,0.01104,0.25766,0.50728,0.3181,0.17512,1.50243,3.07958,0.01535,0.0095446,0.0095446,0.0095446
48,11075,1.44544,1.4735,0.01132,0.29803,0.52687,0.29098,0.17472,1.4397,3.54068,0.0144,0.0095347,0.0095347,0.0095347
49,11321.3,1.42157,1.46659,0.01068,0.2377,0.5557,0.25276,0.15746,1.46429,2.44793,0.01492,0.0095248,0.0095248,0.0095248
50,11553.5,1.45788,1.49069,0.0114,0.29299,0.51782,0.32895,0.19449,1.51169,2.2439,0.01525,0.0095149,0.0095149,0.0095149
51,11789,1.43297,1.44319,0.01117,0.32993,0.48345,0.35665,0.21275,1.56777,2.35046,0.01587,0.009505,0.009505,0.009505
52,12035.8,1.39708,1.43937,0.01026,0.27631,0.62791,0.31389,0.18538,1.42808,3.54621,0.01394,0.0094951,0.0094951,0.0094951
53,12267.2,1.47753,1.48473,0.01195,0.32916,0.48973,0.32553,0.19022,1.40415,2.98233,0.01372,0.0094852,0.0094852,0.0094852
54,12497.5,1.48124,1.47095,0.01164,0.32535,0.56438,0.37535,0.21823,1.57209,2.41455,0.01626,0.0094753,0.0094753,0.0094753
55,12719.4,1.40909,1.41033,0.01087,0.36498,0.65567,0.42082,0.27051,1.30074,1.81182,0.01254,0.0094654,0.0094654,0.0094654
56,12958.2,1.3709,1.33367,0.01001,0.32076,0.61702,0.32631,0.19435,1.45515,1.81257,0.01488,0.0094555,0.0094555,0.0094555
57,13186.6,1.36678,1.38265,0.01055,0.34054,0.54224,0.40886,0.25012,1.36025,2.00483,0.01316,0.0094456,0.0094456,0.0094456
58,13439.7,1.41369,1.32465,0.01086,0.33659,0.45875,0.36197,0.2195,1.46148,1.89182,0.01528,0.0094357,0.0094357,0.0094357
59,13673.5,1.4037,1.36456,0.0104,0.25423,0.57392,0.29936,0.16929,1.41552,2.69629,0.01361,0.0094258,0.0094258,0.0094258
60,13896.6,1.37782,1.34789,0.01068,0.4539,0.52174,0.48548,0.27878,1.44769,1.70254,0.01515,0.0094159,0.0094159,0.0094159
61,14121.3,1.40375,1.34104,0.01088,0.32267,0.53879,0.42032,0.25048,1.42824,2.22484,0.01406,0.009406,0.009406,0.009406
62,14366.2,1.35433,1.29578,0.01027,0.38755,0.50012,0.35688,0.22362,1.42024,2.30394,0.01421,0.0093961,0.0093961,0.0093961
