Clase,Índice,Conteo,Archivo de video
Inmaduro,0,0,Macizo_Moctezuma/Macizo_1_1Corte.MOV
Semimaduro,1,50,Macizo_Moctezuma/Macizo_1_1Corte.MOV
Maduro,2,91,Macizo_Moctezuma/Macizo_1_1Corte.MOV
